,Date,Lat,Lon,Hour,Day
476004,2022-12-01 20:45:19.154317+00:00,42.074978817194356,-113.73790704136064,20,1
476005,2022-12-01 20:45:21.782322+00:00,42.16889510790339,-113.55781681807055,20,1
476006,2022-12-01 20:45:24.410359+00:00,42.262492803128254,-113.37715931832157,20,1
476007,2022-12-01 20:45:27.038364+00:00,42.35576706213929,-113.19593848099493,20,1
476008,2022-12-01 20:45:29.666340+00:00,42.448717336971264,-113.01414997414409,20,1
476009,2022-12-01 20:45:32.294345+00:00,42.541341636821606,-112.83179224784014,20,1
476010,2022-12-01 20:45:34.922351+00:00,42.633637962435344,-112.64886377543446,20,1
476011,2022-12-01 20:45:37.550357+00:00,42.72560430639043,-112.46536305360445,20,1
476012,2022-12-01 20:45:40.178362+00:00,42.817238653379604,-112.2812886024092,20,1
476013,2022-12-01 20:45:42.806368+00:00,42.90853898004412,-112.09663896632583,20,1
541597,2022-12-03 20:38:17.730730+00:00,43.46765213508111,-120.90975039335089,20,3
541598,2022-12-03 20:38:20.358705+00:00,43.55647828255353,-120.72092879756514,20,3
541599,2022-12-03 20:38:22.986711+00:00,43.64495356105805,-120.53152114153791,20,3
541600,2022-12-03 20:38:25.614716+00:00,43.73307587819806,-120.34152621791952,20,3
541601,2022-12-03 20:38:28.242722+00:00,43.82084313405684,-120.15094285004972,20,3
541602,2022-12-03 20:38:30.870728+00:00,43.90825322193324,-119.95976989107962,20,3
541603,2022-12-03 20:38:33.498733+00:00,43.99530402736146,-119.76800622706416,20,3
541604,2022-12-03 20:38:36.126709+00:00,44.081993430127454,-119.57565077308429,20,3
541605,2022-12-03 20:38:38.754714+00:00,44.168319301913414,-119.38270247957823,20,3
541606,2022-12-03 20:38:41.382720+00:00,44.25427950905194,-119.18916032672378,20,3
541607,2022-12-03 20:38:44.010726+00:00,44.33987190977293,-118.99502333181141,20,3
541608,2022-12-03 20:38:46.638732+00:00,44.425094356841775,-118.80029054384713,20,3
541609,2022-12-03 20:38:49.266707+00:00,44.50994469671053,-118.60496104643096,20,3
541610,2022-12-03 20:38:51.894712+00:00,44.59442076849129,-118.40903396117271,20,3
541611,2022-12-03 20:38:54.522749+00:00,44.67852169064888,-118.21250543029855,20,3
541612,2022-12-03 20:38:57.150754+00:00,44.76224271544573,-118.0153806645373,20,3
541613,2022-12-03 20:38:59.778760+00:00,44.84558295500455,-117.81765588967515,20,3
541614,2022-12-03 20:39:02.406766+00:00,44.92854022493587,-117.61933037435735,20,3
573292,2022-12-04 19:46:32.274002+00:00,40.080180391670545,-120.49138965593883,19,4
573293,2022-12-04 19:46:34.902008+00:00,40.18023178925247,-120.32251979777345,19,4
573294,2022-12-04 19:46:37.530014+00:00,40.28000186112681,-120.15312219548603,19,4
573295,2022-12-04 19:46:40.158019+00:00,40.379488809082154,-119.98319492004859,19,4
573296,2022-12-04 19:46:42.786025+00:00,40.47869082625651,-119.81273605439162,19,4
573297,2022-12-04 19:46:45.414031+00:00,40.57760609702349,-119.64174369401233,19,4
573298,2022-12-04 19:46:48.042006+00:00,40.676232797124904,-119.47021594716512,19,4
573299,2022-12-04 19:46:50.670012+00:00,40.774569093322036,-119.29815093593254,19,4
573300,2022-12-04 19:46:53.298017+00:00,40.872613143893815,-119.12554679575678,19,4
573301,2022-12-04 19:46:55.926023+00:00,40.97036309817187,-118.95240167674385,19,4
573302,2022-12-04 19:46:58.554029+00:00,41.0678170968003,-118.7787137436655,19,4
573303,2022-12-04 19:47:01.182004+00:00,41.164973272232714,-118.60448117546503,19,4
573304,2022-12-04 19:47:03.810010+00:00,41.261829747678426,-118.42970216773416,19,4
573305,2022-12-04 19:47:06.438015+00:00,41.358384637728676,-118.25437493204869,19,4
573306,2022-12-04 19:47:09.066021+00:00,41.45463604908578,-118.07849769502968,19,4
573307,2022-12-04 19:47:11.694057+00:00,41.55058354566466,-117.90206599636004,19,4
573308,2022-12-04 19:47:14.322063+00:00,41.64622227900171,-117.72508349942859,19,4
573309,2022-12-04 19:47:16.950069+00:00,41.7415518007714,-117.54754578729364,19,4
573310,2022-12-04 19:47:19.578074+00:00,41.83657018299394,-117.36945115802376,19,4
573311,2022-12-04 19:47:22.206050+00:00,41.93127548959854,-117.19079792774262,19,4
573312,2022-12-04 19:47:24.834055+00:00,42.02566577576216,-117.01158443251656,19,4
573313,2022-12-04 19:47:27.462061+00:00,42.11973908841522,-116.8318090279146,19,4
573314,2022-12-04 19:47:30.090067+00:00,42.21349346639595,-116.65147008927138,19,4
573315,2022-12-04 19:47:32.718072+00:00,42.30692693957583,-116.47056601406425,19,4
573316,2022-12-04 19:47:35.346048+00:00,42.40003753051167,-116.28909521913346,19,4
573317,2022-12-04 19:47:37.974053+00:00,42.4928232527753,-116.1070561447234,19,4
573318,2022-12-04 19:47:40.602059+00:00,42.585282112375886,-115.92444725217953,19,4
573319,2022-12-04 19:47:43.230065+00:00,42.677412106787656,-115.74126702659623,19,4
573320,2022-12-04 19:47:45.858071+00:00,42.7692112260231,-115.5575139752084,19,4
573321,2022-12-04 19:47:48.486076+00:00,42.86067745145102,-115.37318663055522,19,4
573322,2022-12-04 19:47:51.114051+00:00,42.951808757093005,-115.18828354838922,19,4
573323,2022-12-04 19:47:53.742057+00:00,43.042603108788335,-115.00280331013897,19,4
573324,2022-12-04 19:47:56.370093+00:00,43.133059846993454,-114.81674166945928,19,4
573325,2022-12-04 19:47:58.998099+00:00,43.223174152352584,-114.63010295632633,19,4
573326,2022-12-04 19:48:01.626105+00:00,43.312945355168445,-114.44288298596453,19,4
573327,2022-12-04 19:48:04.254111+00:00,43.40237139089774,-114.25508044448486,19,4
573328,2022-12-04 19:48:06.882116+00:00,43.49145018684256,-114.06669404722872,19,4
573329,2022-12-04 19:48:09.510091+00:00,43.58017966365111,-113.87772253619566,19,4
573330,2022-12-04 19:48:12.138097+00:00,43.66855773441118,-113.68816468279014,19,4
573331,2022-12-04 19:48:14.766103+00:00,43.75658230441402,-113.49801928917796,19,4
